customer_id,age,region,tenure,avg_monthly_spend,support_tickets,login_frequency,churn_flag
1,56,East,17,374.63993029792925,5,29,0
2,69,East,50,113.5751221739776,5,12,0
3,46,East,40,145.39212090600734,0,12,0
4,32,West,45,418.43075183342154,3,1,0
5,60,North,32,195.13759003088683,4,4,0
6,25,East,29,60.30222123925411,2,16,0
7,38,North,51,119.20601735061399,8,5,1
8,56,West,58,150.62649552334005,0,1,0
9,36,South,3,480.79529955256425,5,3,1
10,40,East,56,307.8686430188822,5,21,0
11,28,North,40,469.72883321431465,9,25,1
12,28,North,34,308.8235077234812,4,10,0
13,41,East,40,265.7094980620333,4,7,0
14,53,South,27,191.17746103734322,9,11,1
15,57,South,13,322.866924995019,4,7,0
16,41,South,45,112.63911107788843,5,10,0
17,20,West,33,454.2177322817177,7,21,0
18,39,North,6,423.19958231357765,1,19,0
19,19,North,24,192.88915154453167,5,7,0
20,41,North,19,478.7588874205824,0,28,0
21,61,West,16,421.34034533700566,3,7,0
22,47,North,40,349.8380986257679,9,25,0
23,55,West,28,104.79286000637366,2,29,0
24,19,South,33,265.20531037163255,8,16,0
25,38,East,59,277.7483996810379,2,19,0
26,50,North,59,154.64811126442106,5,19,0
27,29,North,48,85.98442746168587,0,22,0
28,39,South,41,399.5256337122617,5,15,0
29,61,East,13,104.91577345597776,3,13,0
30,42,West,43,317.4308377527986,7,29,0
31,66,East,45,471.4021282476472,8,10,0
32,44,South,25,444.24733666911914,3,6,0
33,59,South,53,174.98868068716752,9,15,0
34,45,East,42,433.1518868980694,9,12,0
35,33,West,36,50.149627754220234,5,26,1
36,32,West,27,57.95951432596575,0,14,0
37,64,North,38,321.1489237292892,3,23,0
38,68,West,7,214.15919861503826,6,15,0
39,61,East,5,223.9073785216162,0,26,0
40,69,South,43,303.9984908054971,7,20,1
41,20,North,45,136.30210501633726,9,22,1
42,54,North,58,145.28990779946525,5,23,0
43,68,South,57,268.07071415848907,4,8,0
44,24,West,51,389.41409495473835,9,2,0
45,38,South,31,328.77398813341443,8,18,1
46,26,West,23,183.8097717065775,1,19,0
47,56,South,42,243.65172987901454,4,4,0
48,35,East,10,126.79914134749929,5,9,0
49,21,West,32,83.58341645168677,6,16,0
50,42,East,43,402.2132183348672,4,14,0
51,31,North,53,169.42433413468757,8,22,0
52,67,South,30,129.9948745330617,0,24,0
53,26,North,39,361.2281250061937,6,7,0
54,43,North,31,328.12325342923367,9,14,0
55,19,North,18,334.93533170605883,6,20,0
56,37,North,36,153.00257218097613,3,29,0
57,45,South,2,154.69049235320645,8,13,1
58,64,North,14,149.3611834035376,4,19,0
59,24,South,13,128.18866804803253,3,27,0
60,61,South,29,345.07565265274536,6,6,0
61,25,East,12,431.60714836223065,3,20,0
62,64,West,39,375.94286135449755,2,22,0
63,52,West,2,406.44213519224445,8,11,0
64,31,South,32,232.15929308833992,7,16,1
65,34,East,13,344.33410791739914,0,16,0
66,53,South,46,209.40630820014854,6,9,1
67,67,South,27,286.477079885888,8,29,0
68,57,South,49,266.73568094068804,7,28,0
69,21,East,41,129.59921531473447,7,18,1
70,19,West,17,224.18544215103387,5,13,0
71,23,East,40,483.72002396705795,3,10,0
72,59,North,31,161.86111597172393,7,1,1
73,21,East,34,110.21168132576992,2,17,0
74,46,East,24,238.3612797307709,8,6,0
75,35,East,45,405.6519811370666,1,11,0
76,43,East,35,311.9667034009875,1,25,0
77,61,West,48,356.43867225721004,6,1,1
78,51,North,6,135.36268167860473,9,26,1
79,27,West,19,328.5266868534747,3,19,0
80,53,West,30,195.5751777101632,9,17,0
81,31,East,7,425.43651467964537,7,5,0
82,48,South,10,333.1844627048313,8,23,0
83,65,South,41,139.48532499888316,6,9,1
84,32,West,32,79.07750592983876,4,19,1
85,25,West,34,69.18494417916473,7,14,0
86,31,East,28,217.13385544256334,3,4,0
87,40,West,15,169.63301149444106,1,19,0
88,57,East,30,340.7405555581286,5,2,0
89,38,South,37,274.7002257403782,8,4,1
90,33,South,29,169.70867510242132,0,29,0
91,62,North,22,117.15700007757926,9,24,0
92,35,South,4,107.23989320935232,6,7,1
93,64,West,20,439.09717646318796,9,7,1
94,41,South,32,159.56508578219024,8,7,0
95,43,East,36,343.26979155993575,9,11,0
96,42,South,50,414.8086675938198,8,23,0
97,62,North,4,326.33659003313124,9,22,0
98,58,South,27,436.80435424112557,2,7,0
99,46,East,17,226.57717468781354,4,10,0
100,32,East,12,480.29998579202675,7,13,1
101,62,West,22,109.91525188014361,7,7,0
102,18,South,17,95.96728834589214,3,28,0
103,42,East,10,346.4114657933496,0,29,0
104,24,North,54,474.2740136359678,0,23,0
105,26,West,1,413.99755773634763,3,27,0
106,41,North,22,84.38758674712315,5,9,0
107,18,South,26,175.71547127062237,7,6,0
108,61,South,56,468.64349817702066,5,27,0
109,25,South,59,163.87629476035306,8,16,1
110,41,West,18,401.52669070411366,8,3,1
111,28,East,50,421.3094881679167,1,28,0
112,68,West,14,272.9534465574418,9,12,0
113,34,North,47,223.85700943174197,0,3,0
114,25,West,29,252.55599458889185,1,4,0
115,52,North,12,152.13411246441387,4,25,0
116,52,West,36,450.2259122579799,3,21,0
117,50,East,59,252.77884552839106,3,3,1
118,22,North,35,447.1067482052449,8,17,0
119,59,South,52,97.56206595782334,7,5,1
120,56,South,12,494.7238719500591,5,23,0
121,58,West,7,249.47288934962822,0,23,0
122,45,South,29,71.52386917734746,1,22,1
123,24,North,11,67.1098317068547,5,21,0
124,26,South,33,385.79326586682737,1,1,0
125,25,East,6,346.5659903916563,9,22,0
126,29,East,47,410.9587511574144,4,10,0
127,51,West,15,97.41539027876269,4,27,0
128,50,North,32,66.00689016599677,5,13,0
129,65,East,51,278.8606802514103,5,29,0
130,40,East,11,224.41785416724628,5,4,1
131,41,North,58,257.87612150193013,1,5,0
132,54,South,23,496.2147839916233,9,9,0
133,52,South,26,486.8374809518016,2,7,0
134,61,West,34,474.0419253529368,5,13,0
135,57,South,46,402.72920454545323,7,23,1
136,39,North,34,209.67861211560069,0,2,0
137,44,East,29,235.45891861824722,0,11,0
138,52,South,4,297.327219673516,1,15,0
139,18,West,17,423.74050538217796,5,27,0
140,52,South,35,80.92077463322049,8,29,1
141,54,North,13,240.93359864819965,3,22,0
142,64,West,41,87.17794855667091,2,16,0
143,31,South,39,281.59591395808025,7,0,1
144,20,West,15,454.50537080280594,9,22,0
145,18,North,55,402.1182160537721,8,9,0
146,22,East,29,152.52908789439948,4,24,0
147,43,North,29,489.1958823194566,8,22,1
148,31,North,11,350.3076791208928,1,9,0
149,56,North,52,54.69246472883138,2,20,1
150,44,North,32,164.93606810834876,6,23,1
151,26,East,2,167.32098496396245,6,1,0
152,32,East,47,81.16443782863698,5,8,0
153,32,West,14,481.92193313416806,5,21,0
154,43,South,20,265.2148825591657,1,12,0
155,59,East,22,453.1165688173469,9,24,0
156,30,East,11,194.99697655008276,5,15,0
157,68,South,27,106.3551066947722,3,17,0
158,49,East,3,263.4512494577963,2,18,0
159,56,North,17,101.28048562144272,1,11,0
160,66,North,44,268.706976339893,0,7,0
161,69,South,56,464.13373154873346,4,16,0
162,49,West,28,284.3456638253957,1,14,0
163,21,West,29,327.42487710278755,1,9,0
164,47,South,21,120.48729663821373,6,14,1
165,54,South,47,69.68103164598627,7,14,0
166,40,North,16,99.86358298091316,9,22,1
167,56,West,37,319.3392090579645,7,6,0
168,62,East,59,92.75526454653709,3,12,0
169,32,North,20,219.19680047359014,0,16,0
170,60,South,6,297.5413732061702,6,8,0
171,46,West,19,224.89375938343116,0,7,0
172,53,East,57,123.65771065938567,3,19,0
173,30,East,5,173.20608838134794,7,25,0
174,49,North,3,467.7428897818596,1,26,0
175,24,West,59,354.1920240138599,5,20,0
176,68,West,1,273.22152740594896,5,17,0
177,39,South,58,55.72170049410208,8,12,1
178,45,West,38,496.5869302202616,4,15,0
179,19,West,15,352.1547207025895,9,8,0
180,59,North,34,192.61511480522523,3,11,0
181,62,West,35,445.6708969990272,4,11,0
182,23,East,49,166.29422913131816,9,5,1
183,45,North,25,294.8074606322382,4,18,0
184,45,North,24,336.2318436784213,7,27,1
185,61,South,12,149.4785171541778,9,6,0
186,61,West,18,490.27877546026815,7,24,0
187,37,South,15,386.6863576905489,1,2,0
188,47,East,44,301.0159514799815,6,15,1
189,28,North,16,131.2675691788854,7,17,1
190,45,North,27,74.23619314911176,5,15,1
191,42,North,8,194.02692463444257,4,22,0
192,56,East,46,388.93430116103127,8,6,0
193,50,East,25,171.1990842359113,2,3,1
194,18,South,17,292.8002992229773,9,26,0
195,44,South,29,377.5762295288344,3,24,0
196,69,South,53,98.57467159090896,8,29,1
197,30,West,8,358.384107252143,5,7,0
198,58,North,15,91.34189946952011,7,12,0
199,20,North,27,484.30838395714846,6,12,1
200,56,South,46,269.77735852922285,1,16,0
201,23,North,50,117.80424846944483,2,16,0
202,25,South,52,204.0726362150959,0,4,0
203,44,West,7,236.03740218286765,8,5,0
204,26,West,3,391.1832549844418,6,18,0
205,54,East,29,384.54070373447416,0,12,0
206,50,West,44,325.37322740179894,2,24,0
207,68,South,53,97.66882065132182,3,27,0
208,59,West,24,118.20621721445312,3,25,0
209,61,East,58,92.19061429050049,4,13,1
210,41,North,3,309.7277524793975,2,21,0
211,32,South,20,444.71229868013177,2,3,0
212,49,North,46,245.2102305146473,0,27,0
213,49,East,15,122.3816782809858,6,6,0
214,41,East,25,301.11904631703516,9,7,1
215,58,East,30,415.28849758956943,0,24,0
216,69,North,14,383.7704276808185,1,12,0
217,66,North,7,446.6528508537596,3,26,0
218,66,North,17,175.05594376199053,3,5,0
219,69,North,44,137.2792402704987,4,5,0
220,29,East,20,445.9174186738724,1,23,0
221,56,East,36,345.9021407501104,3,27,0
222,19,South,9,189.91801850339937,0,20,0
223,20,South,38,384.05662275762916,1,29,0
224,66,North,48,416.8032730161656,0,2,0
225,54,West,57,326.74020815350957,9,27,0
226,66,West,22,359.5478494459618,9,2,1
227,34,East,54,218.86695699919986,3,12,0
228,66,East,53,292.41305030436763,3,21,0
229,19,East,53,285.871626826773,6,1,0
230,19,South,2,431.62150600884735,9,15,0
231,45,South,24,427.98379112698217,8,21,1
232,40,East,8,424.7062112061694,8,28,0
233,54,East,11,54.964226418109604,4,5,0
234,49,East,13,387.2954680109997,9,7,1
235,50,West,17,391.4043755499522,0,22,0
236,18,South,8,355.2704702848138,0,7,0
237,36,West,21,390.3190960511537,5,29,0
238,19,West,18,428.8866671735189,1,24,0
239,61,East,30,261.64357434580353,7,5,0
240,43,East,18,275.9225960698012,8,13,1
241,49,North,46,106.12132561012572,3,2,0
242,23,North,47,223.41914737131282,4,9,0
243,49,West,31,339.51433096030297,7,2,1
244,21,South,38,401.17989926627354,2,26,0
245,28,East,32,147.74409396104477,4,11,0
246,34,East,11,112.02030462165592,2,16,0
247,55,West,45,348.3689020252215,9,26,1
248,41,North,25,50.84594758620979,2,28,0
249,22,South,33,130.26766293829843,2,4,0
250,69,North,38,63.08212115477918,6,29,0
251,51,North,41,125.09830303469191,6,19,0
252,23,North,8,131.59367596647735,6,24,1
253,39,North,11,224.4531176376774,9,8,0
254,28,East,22,231.04720610895018,7,29,0
255,65,East,51,443.418111774607,4,20,0
256,33,North,24,279.54937062447135,4,25,0
257,50,South,41,375.53214452552885,3,19,0
258,26,West,17,96.86181106412934,6,6,1
259,23,South,12,151.44743995866224,9,21,0
260,33,South,57,366.32454844040456,3,3,1
261,46,South,46,73.76178221083764,1,12,0
262,20,North,32,268.9689480096889,3,12,0
263,37,East,15,319.71603454832024,7,9,1
264,53,South,16,320.9655398236165,8,17,0
265,36,North,54,60.319765070618914,2,16,0
266,43,South,22,194.94860190313346,6,19,0
267,20,South,28,336.42079297211933,8,19,0
268,36,North,20,117.04988126715955,3,12,0
269,37,East,33,362.93704174762394,9,16,0
270,49,East,10,385.66634396615353,2,21,0
271,24,West,40,491.88613570076535,4,3,1
272,69,North,32,144.42889768538424,0,0,0
273,58,West,50,421.30880044975186,2,0,0
274,50,West,33,284.13345961339434,7,14,0
275,57,West,2,218.05816826487805,7,12,1
276,56,East,33,105.06954079633007,3,16,0
277,35,North,33,380.9775229193919,1,23,0
278,57,West,41,156.1359196146592,7,25,0
279,18,North,13,217.1399008428706,7,7,0
280,28,North,30,78.1440021038158,9,17,1
281,45,East,33,410.61511211878354,3,26,0
282,42,West,13,394.9648357872395,2,12,0
283,67,West,52,380.1271235190406,1,22,0
284,40,North,26,184.749579721349,8,13,0
285,48,South,22,128.06603341968076,0,7,0
286,47,East,39,336.8989690116034,6,7,0
287,59,East,2,273.2748728509488,4,26,0
288,52,East,38,130.2136101070887,7,25,0
289,24,East,39,358.6600719724387,3,14,0
290,33,West,26,496.00689431958665,6,26,1
291,43,West,46,386.24881448391693,4,12,0
292,65,South,58,382.9938740085253,4,6,0
293,69,East,50,477.64073881876624,8,4,0
294,66,East,15,141.321365408706,8,16,0
295,19,North,34,304.4974842146482,8,27,1
296,18,West,42,490.84102176524755,5,24,0
297,65,East,55,124.38234993657855,5,28,0
298,29,South,44,365.1133817500345,4,15,0
299,22,South,49,313.6145656873559,8,22,0
300,54,West,40,313.91559148491814,9,1,1
301,49,South,11,363.95178238403383,7,21,0
302,26,South,3,468.32761529405786,6,17,0
303,58,West,59,402.1618729331021,6,16,0
304,52,East,6,75.2612465372945,5,29,0
